ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202212,시네마,제주시,이도2동,제주시내,한식,가정식,0.64,0.55,0.03,0.07,0.12,0.29,-0.01,8766,다다09b01a
202212,고전떡볶이,제주시,삼도2동,제주시내,분식,분식,0.28,0.99,0.01,0.23,0.06,0.61,0.35,1267,다다08b02b
202212,빨간맛집한라대점,제주시,노형동,제주시내,한식,가정식,1.04,1.37,0.08,0.16,0.23,0.71,0.2,2418,다나05a98b
202212,대굴대굴굴구이 법원점,제주시,이도2동,제주시내,한식,가정식,4.49,2.94,0.12,0.24,0.78,1.44,0.63,524,다다10a00b
202212,30년할매닭발 노형점,제주시,노형동,제주시내,피자.치킨.햄버거,치킨,0.88,1.34,0.04,0.14,0.16,0.68,0.04,6845,다나04b99b
202212,동해옛날보리빵,서귀포시,중문동,서귀포시내,베이커리.디저트,베이커리,0.04,0.17,0,0.1,0.01,0.16,0.07,5391,나나99b73b
202212,큐제이 주식회사,제주시,이도2동,제주시내,한식,단품요리 전문,0.5,3.03,0.02,0.32,0.09,1.54,0.14,3552,다다10a00a
202212,원우정갈비,제주시,노형동,제주시내,한식,가정식,0.98,0.5,0,0,0.15,0.21,0.12,3802,다나05a99b
202212,이모네막창,제주시,용담2동,제주시내,고기,막창,0.27,0.26,0,0.01,0.04,0.12,-0.04,10188,다다08a02a
202212,무판,제주시,삼도1동,제주시내,한식,가정식,0.42,0.21,0,0,0.06,0.09,0.07,5392,다다08b01b
202212,이고집,서귀포시,동홍동,서귀포시내,고기,소고기,1.94,1.57,0.03,0.09,0.32,0.73,0.08,4891,다나13a73b
202212,더벤티,제주시,이도2동,제주시내,카페,커피,0.15,1.28,0.02,0.12,0.04,0.64,0.29,1602,다다09b01a
202212,코시롱보리빵,제주시,봉개동,제주시내,베이커리.디저트,베이커리,0.31,0.79,0.03,0.24,0.07,0.54,0.37,1172,다나16a99b
202212,츄러스1500제주노형점,제주시,노형동,제주시내,한식,단품요리 전문,0.09,0.64,0,0.09,0.02,0.34,0.27,1767,다나04b99b
202212,산시도삭면,제주시,연동,제주시내,중식,중식,0.65,1.22,0.05,0.32,0.14,0.78,0.09,4811,다나05b99b
202212,컴포즈커피 제주아라점,제주시,아라동,제주시내,카페,커피,0.66,8.4,0.01,0.56,0.11,3.99,1.73,73,다나11a98b
202212,죽성고을,제주시,아라동,제주시내,한식,가정식,1.2,1.98,0.13,0.39,0.3,1.16,1.11,202,다나10a97a
202212,빵의정석,제주시,삼양동,제주시내,베이커리.디저트,베이커리,1,4.31,0.02,0.26,0.17,2.02,0.13,3754,다다15a03b
202212,모어,제주시,용담1동,제주시내,양식,양식,0,0,0.02,0.3,0.01,0.26,-0.19,11965,다다08a01a
202212,제주명태어장삼화점,제주시,화북동,제주시내,한식,명태,1.2,1.84,0.02,0.1,0.2,0.85,0.18,2666,다다14a03a
202212,보목동마을회,서귀포시,송산동,서귀포시내,한식,단품요리 전문,0.25,1.66,0.04,0.75,0.07,1.33,0.94,278,다나15b72a
202212,오븐에빠진닭 제주신서귀포점,서귀포시,대륜동,서귀포시내,피자.치킨.햄버거,치킨,0.43,0.58,0.08,0.16,0.14,0.38,0.21,2365,다나07b73b
202212,달맥,제주시,이도2동,제주시내,한식,단품요리 전문,0.27,0.17,0.03,0.12,0.07,0.17,0,8513,다다10a01a
202212,표선얼큰이,제주시,화북동,제주시내,한식,단품요리 전문,0.3,0.58,0,0.01,0.05,0.26,0.1,4492,다다13a03b
202212,호맥시청점,제주시,이도2동,제주시내,한식,단품요리 전문,0.7,0.76,0.04,0.13,0.14,0.43,-0.43,12316,다다09b01a
202212,넝쿨하눌연동,제주시,연동,제주시내,한식,가정식,0.83,1.61,0,0.04,0.13,0.71,0.08,4892,다다06b00a
202212,피카(Fika),제주시,화북동,제주시내,카페,커피,0.12,0.76,0,0.04,0.02,0.35,-0.06,10771,다다13a03b
202212,인화동한우,제주시,일도2동,제주시내,고기,소고기,2.49,0.55,0.03,0.03,0.4,0.26,-0.07,10997,다다11a02a
202212,산아,제주시,이도2동,제주시내,한식,가정식,1.07,0.82,0.02,0.04,0.18,0.38,-0.14,11742,다다10a00a
202212,청해회센타,제주시,연동,제주시내,일식.회,회,0.14,0.09,0.08,0.14,0.09,0.16,0.09,4680,다다06b00a
202212,멧돌식당,서귀포시,송산동,서귀포시내,한식,가정식,0.01,0.09,0.16,0.42,0.15,0.39,0.12,3932,다나13a72b
202212,마왕족발제주시청점,제주시,이도2동,제주시내,고기,족발,0.79,0.9,0.03,0.1,0.14,0.46,0.07,5393,다다09b01a
202212,노랑통닭 제주 시청점,제주시,이도2동,제주시내,피자.치킨.햄버거,치킨,1.01,1.78,0.02,0.14,0.17,0.87,0,8514,다다09b01a
202212,보엠,제주시,노형동,제주시내,베이커리.디저트,베이커리,1.19,3.06,0.05,0.42,0.22,1.63,0.46,855,다나05b99a
202212,복이조아복쟁이,제주시,연동,제주시내,한식,가정식,0.55,0.23,0.01,0.03,0.09,0.12,0.07,5394,다나06b99b
202212,노을코지,제주시,용담2동,제주시내,카페,커피,0.19,0.64,0.05,0.47,0.07,0.67,0.16,3131,다다05b02b
202212,은강,제주시,연동,제주시내,한식,가정식,0.49,0.26,0.18,0.3,0.23,0.37,-0.04,10134,다다07a00b
202212,모던플레이스,서귀포시,예래동,서귀포시내,한식,단품요리 전문,0.01,0.06,0.01,0.13,0.01,0.13,-0.1,11390,나나97a75b
202212,언맥프라이,제주시,이도2동,제주시내,한식,단품요리 전문,0.08,0.15,0,0.01,0.01,0.07,0.05,6244,다다11a01b
202212,유리네식당,제주시,연동,제주시내,한식,가정식,0.98,0.99,1.38,3.54,1.37,3.42,0.41,1001,다나06b99a
202212,고창댁풍천장어&갈비,제주시,화북동,제주시내,한식,장어,1.95,0.84,0.02,0.03,0.31,0.38,0.05,6245,다다12b03a
202212,어우늘,제주시,오라동,제주시내,한식,가정식,1.1,0.52,0.3,0.36,0.43,0.52,0.09,4812,다나07b99a
202212,시끌벅적분식,서귀포시,대륜동,서귀포시내,분식,분식,0.12,0.64,0.02,0.23,0.04,0.46,-0.02,9647,다나07b73b
202212,신풍해장국,제주시,일도2동,제주시내,한식,해장국,0.15,0.32,0,0,0.02,0.13,-0.08,11131,다다10b01b
202212,남문식당,제주시,이도1동,제주시내,한식,단품요리 전문,0.37,0.23,0.01,0.03,0.06,0.12,0.11,4070,다다09a02a
